,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,160 ","3,341 "
2,홍콩,"1,004 ",4  
3,대만,388 ,6  
4,마카오,45 ,0  
5,일본,"7,255 ",102 
6,싱가포르,"2,532 ",8  
7,태국,"2,551 ",38  
8,말레이시아,"4,530 ",73  
9,베트남,258 ,0  
10,인도,"8,356 ",273  
11,필리핀,"4,428 ",247  
12,캄보디아,122 ,0  
13,네팔,9 ,0  
14,러시아,"15,770 ",130  
15,스리랑카,199 ,7  
16,아프가니스탄,555 ,18  
17,파키스탄,"5,183 ",88  
18,인도네시아,"4,241 ",373  
19,부탄,5 ,0  
20,몰디브,19 ,0  
21,방글라데시,621 ,34  
22,브루나이,136 ,1  
23,몽골,16 ,0  
24,카자흐스탄,897 ,10 
25,우즈베키스탄,796 ,3 
26,키르기스스탄,377 ,5 
27,동티모르,2 ,0 
28,미얀마,38 ,3 
29,라오스,16 ,0 
30,이란,"71,686 ","4,474 "
31,쿠웨이트,"1,234 ",1  
32,바레인,"1,087 ",6  
33,아랍에미리트,"3,736 ",20  
34,이라크,"1,352 ",76  
35,오만,599 ,4  
36,레바논,630 ,20  
37,이스라엘,"11,145 ",103  
38,이집트,"1,939 ",146  
39,알제리,"1,825 ",275  
40,카타르,"2,979 ",7  
41,요르단,381 ,7  
42,튀니지,685 ,28  
43,사우디아라비아,"4,462 ",59  
44,모로코,"1,617 ",113  
45,시리아,25 ,2 
46,리비아,25,1
47,예멘,1 ,0 
48,미국,"554,226 ","21,994 "
49,캐나다,"24,365 ",717  
50,브라질,"22,169 ","1,223  "
51,멕시코,"3,844 ",233  
52,에콰도르,"7,257 ",315  
53,도미니카공화국,"2,620 ",126  
54,아르헨티나,"1,975 ",82  
55,칠레,"6,927 ",73  
56,콜롬비아,"2,473 ",80  
57,페루,"5,897 ",169  
58,코스타리카,558 ,3  
59,파라과이,133 ,6  
60,파나마,"2,974 ",74  
61,볼리비아,275 ,20 
62,자메이카,65 ,4 
63,온두라스,392 ,24 
64,세인트빈센트그레나딘,12 ,0 
65,쿠바,620 ,16 
66,가이아나,37 ,6 
67,베네수엘라,171 ,9 
68,앤티가바부다,21 ,2 
69,트리니다드토바고,109 ,8 
70,우루과이,494 ,7 
71,세인트루시아,15 ,0 
72,수리남,10 ,0 
73,과테말라,137 ,3 
74,바하마,42 ,8 
75,엘살바도르,118,6
76,바베이도스,67 ,4 
77,니카라과,7,1
78,아이티,31 ,2 
79,그레나다,14,0
80,벨리즈,10 ,2 
81,도미니카연방,16 ,0 
82,세인트키츠네비스,12 ,0 
83,이탈리아,"156,363 ","19,899 "
84,독일,"127,574 ","3,011  "
85,프랑스,"95,403 ","14,393  "
86,영국,"84,279 ","10,621  "
87,스페인,"166,019 ","16,972  "
88,오스트리아,"13,894 ",350  
89,크로아티아,"1,534 ",21  
90,핀란드,"2,905 ",49  
91,스웨덴,"10,483 ",899  
92,스위스,"25,300 ",858  
93,벨기에,"29,647 ","3,600  "
94,덴마크,"5,996 ",260  
95,에스토니아,"1,304 ",24  
96,조지아,252 ,3  
97,그리스,"2,081 ",93  
98,북마케도니아,828 ,34  
99,노르웨이,"6,320 ",98  
100,루마니아,"5,990 ",282  
101,네덜란드,"25,587 ","2,737  "
102,벨라루스,"2,226 ",23  
103,리투아니아,"1,053 ",23  
104,산마리노,356 ,35  
105,아제르바이잔,"1,058 ",11  
106,아이슬란드,"1,689 ",8  
107,모나코,54 ,0  
108,룩셈부르크,"3,270 ",62  
109,아르메니아,"1,013 ",13  
110,아일랜드,"8,928 ",320  
111,체코,"5,902 ",129  
112,포르투갈,"16,585 ",504  
113,라트비아,630 ,3  
114,안도라,622 ,28  
115,폴란드,"6,356 ",208  
116,우크라이나,"2,777 ",83  
117,헝가리,"1,410 ",99  
118,보스니아 헤르체고비나,948 ,37  
119,슬로베니아,"1,188 ",50  
120,리히텐슈타인,80 ,1  
121,세르비아,"3,380 ",74  
122,슬로바키아,728 ,2  
123,불가리아,661 ,28  
124,몰타,370 ,3  
125,몰도바,"1,560 ",30  
126,알바니아,449 ,23  
127,사이프러스,616 ,15  
128,터키,"56,956 ","1,198 "
129,몬테네그로,262 ,2 
130,코소보,283,7
131,호주,"6,289 ",57 
132,뉴질랜드,"1,049 ",4  
133,피지,16 ,0 
134,파푸아뉴기니,2 ,0 
135,나이지리아,318 ,10 
136,세네갈,278 ,2  
137,카메룬,803 ,10  
138,남아프리카공화국,"2,028 ",25  
139,토고,73 ,3  
140,부르키나파소,443 ,19 
141,DR콩고,223 ,20 
142,코트디부아르,533 ,4 
143,수단,19 ,2 
144,에티오피아,69 ,3 
145,가봉,49 ,1 
146,가나,408 ,8 
147,기니,250 ,0 
148,케냐,191 ,7 
149,나미비아,16 ,0 
150,중앙아프리카공화국,11 ,0 
151,콩고,60 ,5 
152,적도기니,18 ,0 
153,에스와티니,12 ,0 
154,모리타니아,7 ,1 
155,르완다,120 ,0 
156,세이쉘,11 ,0 
157,베냉,35 ,2 
158,라이베리아,48 ,5 
159,탄자니아,32 ,3 
160,지부티,215 ,2 
161,감비아,9 ,1 
162,잠비아,40 ,1 
163,모리셔스,319 ,9 
164,차드,11 ,0 
165,니제르,491 ,11 
166,카보베르데,7 ,1 
167,짐바브웨,13 ,3 
168,소말리아,21 ,1 
169,마다가스카르,104 ,0 
170,앙골라,19 ,2 
171,에리트레아,33 ,0 
172,우간다,53 ,0 
173,모잠비크,20,0
174,기니비사우,38 ,0 
175,말리,87 ,7 
176,보츠와나,13 ,1 
177,브룬디,3 ,0 
178,시에라리온,8 ,0 
179,말라위,12 ,2 
180,남수단,4 ,0 
181,상투메프린시페,4 ,0 
182,일본 크루즈,712 ,7 
183,팔레스타인 ,268 ,2  
184,지브롤터,113 ,1  
185,세인트마틴,33 ,2  
186,생바르텔레미,6 ,0  
187,바티칸,8 ,0  
188,마르티니크,155 ,6  
189,프랑스령 기아나,86 ,0  
190,패로제도,184 ,0  
191,건지섬,200 ,6  
192,프랑스령 폴리네시아,51 ,0  
193,저지섬,198 ,4  
194,프랑스령 레위니옹,388 ,0  
195,과들루프,143 ,8  
196,케이맨제도,45 ,2  
197,퀴라소,14 ,1  
198,마요트,191 ,2  
199,푸에르토리코,788 ,42 
200,괌,133 ,4 
201,미국령 버진아일랜드,53 ,1 
202,아루바,92 ,0 
203,버뮤다,48 ,4 
204,신트마르틴,50 ,9 
205,몬트세라트,9 ,0 
206,뉴칼레도니아,18 ,0 
207,그린랜드,11 ,0 
208,맨섬,204 ,1 
209,터크스 케이커스 제도,8 ,1 
210,앵귈라,3 ,0 
211,영국령 버진아일랜드,3 ,0 
212,북마리아나제도,11 ,2 
213,카리브 네덜란드,2 ,0 
