,0,1,2
0,지역 및 국가,발생,사망
1,중국,"82,880 ","4,633 "
2,홍콩,"1,039 ",4  
3,대만,432 ,6  
4,마카오,45 ,0  
5,일본,"15,057 ",510  
6,싱가포르,"18,205 ",18  
7,태국,"2,969 ",54  
8,말레이시아,"6,176 ",103  
9,베트남,270 ,0  
10,인도,"40,263 ","1,306  "
11,필리핀,"8,928 ",603  
12,캄보디아,122 ,0  
13,네팔,59 ,0  
14,러시아,"134,687 ","1,280  "
15,스리랑카,705 ,7  
16,아프가니스탄,"2,469 ",72  
17,파키스탄,"20,084 ",457  
18,인도네시아,"10,843 ",831  
19,부탄,7 ,0  
20,몰디브,519 ,1  
21,방글라데시,"8,790 ",175  
22,브루나이,138 ,1  
23,몽골,39 ,0  
24,카자흐스탄,"3,877 ",26 
25,우즈베키스탄,"2,127 ",9 
26,키르기스스탄,795 ,10 
27,동티모르,24 ,0 
28,미얀마,151 ,6 
29,라오스,16 ,0 
30,타지키스탄,76 ,2 
31,이란,"97,424 ","6,203 "
32,쿠웨이트,"4,983 ",38  
33,바레인,"3,356 ",8  
34,아랍에미리트,"14,163 ",126  
35,이라크,"2,219 ",95  
36,오만,"2,568 ",12  
37,레바논,737 ,25  
38,이스라엘,"16,193 ",230  
39,이집트,"6,193 ",415  
40,알제리,"4,295 ",459  
41,카타르,"15,551 ",12  
42,요르단,461 ,9  
43,튀니지,"1,009 ",42  
44,사우디아라비아,"27,011 ",184  
45,모로코,"4,880 ",174  
46,시리아,44 ,3 
47,리비아,63,3
48,예멘,10 ,2 
49,미국,"1,157,687 ","67,674 "
50,캐나다,"59,474 ","3,682  "
51,브라질,"101,147 ","7,025  "
52,멕시코,"22,088 ","2,061  "
53,에콰도르,"27,464 ","1,371  "
54,도미니카공화국,"7,578 ",326  
55,아르헨티나,"4,532 ",229  
56,칠레,"18,435 ",247  
57,콜롬비아,"7,006 ",314  
58,페루,"45,928 ","1,286  "
59,코스타리카,725 ,6  
60,파라과이,333 ,10  
61,파나마,"6,720 ",192  
62,볼리비아,"1,229 ",66 
63,자메이카,432 ,8 
64,온두라스,899 ,75 
65,세인트빈센트그레나딘,16 ,0 
66,쿠바,"1,611 ",66 
67,가이아나,82 ,9 
