,0,1,2
0,지역 및 국가,발생,사망
1,중국,"81,907 ","3,336 "
2,홍콩,973 ,4  
3,대만,380 ,5  
4,마카오,45 ,0  
5,일본,"5,347 ",88  
6,싱가포르,"1,910 ",6  
7,태국,"2,423 ",32  
8,말레이시아,"4,119 ",65  
9,베트남,251 ,0  
10,인도,"5,734 ",166  
11,필리핀,"3,870 ",182  
12,캄보디아,117 ,0  
13,네팔,9 ,0  
14,러시아,"10,131 ",76  
15,스리랑카,189 ,7  
16,아프가니스탄,484 ,15  
17,파키스탄,"4,489 ",63  
18,인도네시아,"2,956 ",240  
19,부탄,5 ,0  
20,몰디브,19 ,0  
21,방글라데시,218 ,20  
22,브루나이,135 ,1  
23,몽골,16 ,0  
24,카자흐스탄,727 ,7 
25,우즈베키스탄,555 ,3 
26,키르기스스탄,280 ,4 
27,동티모르,1 ,0 
28,미얀마,22 ,3 
29,라오스,15 ,0 
30,이란,"66,220 ","4,110 "
31,쿠웨이트,910 ,1  
32,바레인,855 ,5  
33,아랍에미리트,"2,659 ",12  
34,이라크,"1,202 ",69  
35,오만,457 ,2  
36,레바논,582 ,19  
37,이스라엘,"9,404 ",71  
38,이집트,"1,560 ",103  
39,알제리,"1,572 ",205  
40,카타르,"2,376 ",6  
41,요르단,358 ,6  
42,튀니지,628 ,24  
43,사우디아라비아,"3,287 ",44  
44,모로코,"1,346 ",96  
45,시리아,19 ,2 
46,리비아,21,1
47,미국,"461,437 ","16,478 "
48,캐나다,"20,748 ",509  
49,브라질,"17,857 ",941  
50,멕시코,"2,785 ",141  
51,에콰도르,"4,450 ",242  
52,도미니카공화국,"1,956 ",98  
53,아르헨티나,"1,715 ",60  
54,칠레,"5,546 ",48  
55,콜롬비아,"1,780 ",50  
56,페루,"2,954 ",107  
57,코스타리카,483 ,2  
58,파라과이,119 ,5  
59,파나마,"2,249 ",59  
60,볼리비아,210 ,15 
61,자메이카,63 ,3 
62,온두라스,312 ,22 
63,세인트빈센트그레나딘,8 ,0 
64,쿠바,457 ,12 
65,가이아나,33 ,5 
66,베네수엘라,166 ,7 
67,앤티가바부다,19 ,2 
68,트리니다드토바고,107 ,8 
69,우루과이,424 ,7 
70,세인트루시아,14 ,0 
71,수리남,10 ,0 
72,과테말라,87 ,3 
73,바하마,36 ,6 
