,0,1,2
0,지역 및 국가,발생,사망
1,중국,"81,802 ","3,333 "
2,홍콩,935 ,4  
3,대만,376 ,5  
4,마카오,44 ,0  
5,일본,"4,257 ",81  
6,싱가포르,"1,481 ",6  
7,태국,"2,220 ",26  
8,말레이시아,"3,793 ",62  
9,베트남,245 ,0  
10,인도,"4,067 ",109  
11,필리핀,"3,660 ",163  
12,캄보디아,115 ,0  
13,네팔,9 ,0  
14,러시아,"6,343 ",47  
15,스리랑카,176 ,5  
16,아프가니스탄,367 ,11  
17,파키스탄,"4,005 ",54  
18,인도네시아,"2,491 ",209  
19,부탄,5 ,0  
20,몰디브,19 ,0  
21,방글라데시,123 ,12  
22,브루나이,135 ,1  
23,몽골,15 ,0  
24,카자흐스탄,670 ,6 
25,우즈베키스탄,472 ,2 
26,키르기스스탄,228 ,4 
27,동티모르,1 ,0 
28,미얀마,21 ,1 
29,라오스,12 ,0 
30,이란,"62,589 ","3,872 "
31,쿠웨이트,743 ,1  
32,바레인,811 ,4  
33,아랍에미리트,"2,076 ",11  
34,이라크,"1,031 ",64  
35,오만,371 ,2  
36,레바논,548 ,19  
37,이스라엘,"8,611 ",52  
38,이집트,"1,173 ",78  
39,알제리,"1,423 ",173  
40,카타르,"1,832 ",4  
41,요르단,349 ,6  
42,튀니지,596 ,22  
43,사우디아라비아,"2,795 ",41  
44,모로코,"1,141 ",83  
45,시리아,19 ,2 
46,리비아,19,1
47,미국,"387,547 ","12,291 "
48,캐나다,"17,049 ",345  
49,브라질,"13,717 ",667  
50,멕시코,"2,143 ",94  
51,에콰도르,"3,747 ",191  
52,도미니카공화국,"1,828 ",86  
53,아르헨티나,"1,554 ",46  
54,칠레,"4,815 ",37  
55,콜롬비아,"1,485 ",35  
56,페루,"2,281 ",83  
57,코스타리카,454 ,2  
58,파라과이,113 ,5  
59,파나마,"1,988 ",54  
60,볼리비아,183 ,11 
61,자메이카,58 ,3 
62,온두라스,298 ,22 
63,세인트빈센트그레나딘,3 ,0 
64,쿠바,350 ,9 
65,가이아나,29 ,4 
66,베네수엘라,159 ,3 
67,앤티가바부다,15 ,0 
68,트리니다드토바고,105 ,8 
69,우루과이,406 ,6 
70,세인트루시아,14 ,0 
71,수리남,10 ,0 
72,과테말라,70 ,3 
73,바하마,29 ,5 
74,엘살바도르,69,3
75,바베이도스,56 ,1 
76,니카라과,6,1
77,아이티,24 ,1 
78,그레나다,12,0
79,벨리즈,5 ,0 
80,도미니카연방,14 ,0 
81,세인트키츠네비스,7 ,0 
82,이탈리아,"135,586 ","17,127 "
83,독일,"107,591 ","2,012  "
84,프랑스,"78,167 ","10,328  "
85,영국,"55,242 ","6,159  "
86,스페인,"140,510 ","13,798  "
87,오스트리아,"12,519 ",243  
88,크로아티아,"1,222 ",16  
89,핀란드,"2,176 ",28  
90,스웨덴,"7,206 ",477  
91,스위스,"22,241 ",641  
92,벨기에,"22,194 ","2,035  "
93,덴마크,"4,681 ",187  
94,에스토니아,"1,108 ",19  
95,조지아,195 ,2  
96,그리스,"1,755 ",79  
97,북마케도니아,570 ,21  
98,노르웨이,"5,755 ",59  
99,루마니아,"4,057 ",157  
100,네덜란드,"19,580 ","2,101  "
101,벨라루스,562 ,8  
102,리투아니아,843 ,14  
103,산마리노,277 ,32  
104,아제르바이잔,641 ,7  
105,아이슬란드,"1,562 ",6  
106,모나코,40 ,0  
107,룩셈부르크,"2,843 ",41  
108,아르메니아,833 ,8  
109,아일랜드,"5,364 ",174  
110,체코,"4,822 ",78  
111,포르투갈,"12,441 ",345  
112,라트비아,542 ,1  
113,안도라,540 ,21  
114,폴란드,"4,413 ",107  
115,우크라이나,"1,462 ",45  
116,헝가리,817 ,47  
117,보스니아 헤르체고비나,695 ,28  
118,슬로베니아,"1,021 ",30  
119,리히텐슈타인,78 ,1  
120,세르비아,"2,200 ",58  
121,슬로바키아,534 ,2  
122,불가리아,549 ,22  
123,몰타,241 ,0  
124,몰도바,965 ,19  
125,알바니아,377 ,22  
126,사이프러스,465 ,14  
127,터키,"34,109 ",725 
128,몬테네그로,223 ,2 
129,코소보,165,3
130,호주,"5,844 ",42 
131,뉴질랜드,943 ,1  
132,피지,14 ,0 
133,파푸아뉴기니,1 ,0 
134,나이지리아,232 ,5 
135,세네갈,226 ,2  
136,카메룬,555 ,9  
137,남아프리카공화국,"1,686 ",12  
138,토고,44 ,3  
139,부르키나파소,345 ,17 
140,DR콩고,161 ,16 
141,코트디부아르,323 ,3 
142,수단,14 ,2 
143,에티오피아,43 ,1 
144,가봉,21 ,1 
145,가나,214 ,5 
146,기니,111 ,0 
147,케냐,142 ,4 
148,나미비아,16 ,0 
149,중앙아프리카공화국,9 ,0 
150,콩고,45 ,5 
151,적도기니,16 ,0 
152,에스와티니,9 ,0 
153,모리타니아,6 ,1 
154,르완다,104 ,0 
155,세이쉘,11 ,0 
156,베냉,23 ,1 
157,라이베리아,14 ,3 
158,탄자니아,24 ,1 
159,지부티,121 ,0 
160,감비아,4 ,1 
161,잠비아,39 ,1 
